1,教育 ,移动应用_阅读学习 ,教育培训 ,教育培训_学前教育 教育培训_中小学教育 教育培训_学历教育 
2,教育 ,移动应用_阅读学习 ,教育培训 ,教育培训_学前教育 教育培训_中小学教育 教育培训_学历教育 
3,娱乐 社会 ,移动应用_新闻资讯 ,文化娱乐 ,文化娱乐_书籍杂志 
3,娱乐 社会 ,移动应用_社交网络 移动应用_通信聊天 移动应用_生活服务 ,文化娱乐 ,文化娱乐_电影电视 文化娱乐_演出 
5,数码 摄影 ,移动应用_影音图像 移动应用_美化手机 ,科技数码 ,科技数码_数码摄像 
6,小窍门 家居 ,移动应用_常用工具 移动应用_生活服务 ,家装百货 生活服务 ,家装百货_家电维修 家装百货_日用百货 生活服务_家政服务 
7,财经 商业 ,移动应用_金融理财 移动应用_新闻资讯 ,金融理财 ,金融理财_保险 金融理财_银行理财 金融理财_股票基金 金融理财_期货外汇 
7,汽车 本地 ,移动应用_旅游出行 移动应用_生活服务 ,汽车 商务服务 ,商务服务_安全安保 汽车_车辆养护 
8,数码 摄影 ,移动应用_影音图像 移动应用_美化手机 ,科技数码 ,科技数码_数码摄像 
9,本地 汽车 商业 ,移动应用_旅游出行 移动应用_生活服务 ,汽车 旅游出行 ,汽车_租车 旅游出行_本地周边游 旅游出行_国内游 旅游出行_户外探险 
10,本地 家居 房产 商业 ,移动应用_生活服务 移动应用_常用工具 ,生活服务 房产 家装百货 ,家装百货_家装建材 房产_租房 房产_二手房 房产_普通住宅 房产_别墅豪宅 房产_写字楼 生活服务_家政服务 
11,漫画 动漫 美文 星座 故事 ,移动应用_阅读学习 移动应用_常用工具 ,母婴儿童 教育培训 科技数码 文化娱乐 ,教育培训_学前教育 教育培训_中小学教育 文化娱乐_动漫周边 母婴儿童_儿童玩具 科技数码_手机及配件 
12,科学 科技 数码 ,移动应用_常用工具 移动应用_生活服务 移动应用_性能优化 ,商务服务 科技数码 家装百货 ,家装百货_家用电器 科技数码_数码摄像 商务服务_安全安保 
13,本地 家居 房产 商业 ,移动应用_生活服务 移动应用_常用工具 ,生活服务 房产 家装百货 ,家装百货_家装建材 房产_租房 房产_二手房 房产_普通住宅 房产_别墅豪宅 房产_写字楼 生活服务_家政服务 
13,本地 家居 房产 商业 ,移动应用_生活服务 移动应用_常用工具 移动应用_金融理财 ,商务服务 房产 汽车 ,房产_租房 房产_二手房 房产_写字楼 汽车_租车 商务服务_营销广告 
15,故事 辟谣 星座 ,移动应用_常用工具 移动应用_生活服务 移动游戏_休闲时间 ,文化娱乐 游戏 ,游戏_扑克棋牌 文化娱乐_爱好收藏 
16,娱乐 时尚 游戏 探索 ,移动游戏_休闲时间 移动应用_社交网络 ,科技数码 文化娱乐 ,文化娱乐_电影电视 文化娱乐_艺术展览 文化娱乐_酒吧KTV 文化娱乐_演出 科技数码_数码摄像 
17,漫画 动漫 搞笑 故事 ,移动应用_常用工具 移动应用_阅读学习 ,母婴儿童 教育培训 文化娱乐 ,教育培训_学前教育 教育培训_中小学教育 文化娱乐_动漫周边 母婴儿童_儿童玩具 
18,漫画 动漫 美文 星座 故事 ,移动应用_阅读学习 移动应用_常用工具 ,母婴儿童 教育培训 科技数码 文化娱乐 ,教育培训_学前教育 教育培训_中小学教育 文化娱乐_动漫周边 母婴儿童_儿童玩具 科技数码_手机及配件 
19,娱乐 时尚 游戏 探索 ,移动游戏_休闲时间 移动应用_社交网络 ,科技数码 文化娱乐 ,文化娱乐_电影电视 文化娱乐_艺术展览 文化娱乐_酒吧KTV 文化娱乐_演出 科技数码_数码摄像 
21,社会 商业 本地 ,移动应用_生活服务 移动应用_网上购物 ,商务服务 ,商务服务_物流配送 商务服务_营销广告 商务服务_招商加盟 
